ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
26,,,,Which of the following factors contributes to the weakness of Wired Equivalent Privacy (WEP) protocol?,WEP uses a small range Initialization Vector (IV),WEP uses Message Digest 5 (MD5),WEP uses Diffie-Hellman,WEP does not use any Initialization Vector (IV),,,,,,,,,,,A
27,,,,An input validation and exception handling vulnerability has been discovered on a critical web-based system. Which of the following is MOST suited to quickly implement a control?,Add a new rule to the application layer firewall,Block access to the service,Install an Intrusion Detection System (IDS),Patch the application source code,,,,,,,,,,,A
28,,,,What is the purpose of an Internet Protocol (IP) spoofing attack?1112,"To send excessive amounts of data to a process, making it unpredictable1314",To intercept network traffic without authorization1516,To disguise the destination address from a target’s I17P filtering devices18,To convince a system that it is communicating with a known entity19,,,,,,,,,,,D
29,,,,An external attacker has c22ompromised an organization’s network security perimeter and installed a sniffer onto an inside computer. Which of the following is the MOST effective layer of security the organization could have implemented to mitigate the attacker’s ability to gain further information?,Implement packet filtering on the network firewalls,Install Host Based Intrusion Detection Systems (HIDS),Require strong authentication for administrators,Implement logical network segmentation at the switches,,,,,,,,,,,D
30,,,,Which of the following operates at the Network Layer of the Open System Interconnection (OSI) model?,Packet filtering,Port services filtering,Content filtering,Application access control,,,,,,,,,,,A
31,,,,Which of the following is the BEST network defense against unknown types of attacks or stealth attacks in progress?,Intrusion Prevention Systems (IPS),Intrusion Detection Systems (IDS),Stateful firewalls,Network Behavior Analysis (NBA) tools,,,,,,,,,,,D
32,,,,Which of the following is used by the Point-to-Point Protocol (PPP) to determine packet formats?,Layer 2 Tunneling Protocol (L2TP),Link Control Protocol (LCP),Challenge Handshake Authentication Protocol (CHAP),Packet Transfer Protocol (PTP),,,,,,,,,,,B
33,,,,"In a Transmission Control Protocol/Internet Protocol (TCP/IP) stack, which layer is responsible for negotiating and establishing a connection with another node?",Transport layer,Application layer,Network layer,Session layer,,,,,,,,,,,A
34,,,,Users require access rights that allow them to view the average salary of groups of employees. Which control would prevent the users from obtaining an individual employee’s salary?,Limit access to predefined queries,Segregate the database into a small number of partitions each with a separate security level,Implement Role Based Access Control (RBAC),Reduce the number of people who have access to the system for statistical purposes,,,,,,,,,,,C
35,,,,A manufacturing organization wants to establish a Federated Identity Management (FIM) system with its 20 different supplier companies. Which of the following is the BEST solution for the manufacturing organization?,Trusted third-party certification,Lightweight Directory Access Protocol (LDAP),Security Assertion Markup language (SAML),Cross-certification,,,,,,,,,,,C
36,,,,What is the BEST approach for controlling access to highly sensitive information when employees have the same level of security clearance?,Audit logs,Role-Based Access Control (RBAC),Two-factor authentication,Application of least privilege,,,,,,,,,,,B
37,,,,Which of the following BEST describes an access control method utilizing cryptographic keys derived from a smart card private key that is embedded within mobile devices?,Derived credential,Temporary security credential,Mobile device credentialing service,Digest authentication,,,,,,,,,,,A
38,,,,Which of the following is of GREATEST assistance to auditors when reviewing system configurations?,Change management processes,User administration procedures,Operating System (OS) baselines23,System backup documentation24,,,,,,,,,,,A
39,,,,A Virtual Machine (VM) environment has five guest Operating Systems (OS) and provides strong isolation. What MUST an administrator review to audit a user’s access to data files?27,Host VM monitor audit logs28,Guest OS access controls29,Ho30st VM access controls,Guest OS audit logs,,,,,,,,,,,A
40,,,,Which of the following could cause a Denial of Service (DoS) against an authentication system?,Encryption of audit logs,No archiving of audit logs,Hashing of audit logs,Remote access audit logs,,,,,,,,,,,D
41,,,,In which of the following programs is it MOST important to include the collection of security process data?,Quarterly access reviews,Security continuous monitoring,Business continuity testing,Annual security training,,,,,,,,,,,B
42,,,,Which of the following is a PRIMARY benefit of using a formalized security testing report format and structure?,Executive audiences will understand the outcomes of testing and most appropriate next steps for corrective actions to be taken,"Technical teams will understand the testing objectives, testing strategies applied, and business risk associated with each vulnerability",Management teams will understand the testing objectives and reputational risk to the organization,"Technical and management teams will better understand the testing objectives, results of each test phase, and potential impact levels",,,,,,,,,,,D
43,,,,What should be the FIRST action to protect the chain of evidence when a desktop computer is involved?,Take the computer to a forensic lab,Make a copy of the hard drive,Start documenting,Turn off the computer,,,,,,,,,,,C
44,,,,Which of the following is a PRIMARY advantage of using a third-party identity service?,Consolidation of multiple providers,Directory synchronization,Web based logon,Automated account management,,,,,,,,,,,D
45,,,,Which of the following is the FIRST step in the incident response process?,Determine the cause of the incident31,Disconnect the system involved from the network32,Isolate and contain the system involved33,Investigate all symptoms to confirm the incident34,,,,,,,,,,,D
46,,,,What is the PRIMARY rea37son for implementing change management?,Certify and approve releases to the environment,Provide version rollbacks for system changes,Ensure that all applications are approved,Ensure accountability for changes to the environment,,,,,,,,,,,D
47,,,,A continuous information security monitoring program can BEST reduce risk through which of the following?,Collecting security events and correlating them to identify anomalies,Facilitating system-wide visibility into the activities of critical user accounts,"Encompassing people, process, and technology",Logging both scheduled and unscheduled system changes,,,,,,,,,,,B
48,,,,An organization is found lacking the ability to properly establish performance indicators for its Web hosting solution during an audit. What would be the MOST probable cause?,Absence of a Business Intelligence (BI) solution,Inadequate cost modeling,Improper deployment of the Service-Oriented Architecture (SOA),Insufficient Service Level Agreement (SLA),,,,,,,,,,,D
49,,,,What would be the MOST cost effective solution for a Disaster Recovery (DR) site given that the organization’s systems cannot be unavailable for more than 24 hours?,Warm site,Hot site,Mirror site,Cold site,,,,,,,,,,,A
50,,,,Recovery strategies of a Disaster Recovery planning (DRIP) MUST be aligned with which of the following?,Hardware and software compatibility issues,Applications’ critically and downtime tolerance,Budget constraints and requirements,Cost/benefit analysis and business objectives,,,,,,,,,,,D
51,,,,Which of the following types of business continuity tests includes assessment of resilience to internal and external risks without endangering live operations?,Walkthrough,Simulation,Parallel,White box,,,,,,,,,,,C
52,,,,With what frequency should monitoring of a control occur when implementing Information Security Continuous Monitoring (ISCM) solutions?,Continuously without exception for all security controls,Before and after each change of the control,At a rate concurrent with the volatility of the security control,Only during system implementation and decommissioning,,,,,,,,,,,B
53,,,,What is the MOST important step during forensic analysis when trying to learn the purpose of an unknown application?,Disable all unnecessary services,Ensure chain of custody,Prepare another backup of the system,Isolate the system from the network,,,,,,,,,,,D
54,,,,When is a Business Continuity Plan (BCP) considered to be valid?,When it has been validated by the Business Continuity (BC) manager,When it has been validated by the board of directors,When it has been validated by all threat scenarios,When it has been validated by realistic exercises,,,,,,,,,,,D
55,,,,A Business Continuity Plan/Disaster Recovery Plan (BCP/DRP) will provide which of the following?,Guaranteed recovery of all business functions,Minimization of the need decision making during a crisis,Insurance against litigation following a disaster,Protection from loss of organization resources,,,,,,,,,,,D
56,,,,What is the BEST approach to addressing security issues in legacy web applications?,Debug the security issues,"Migrate to newer, supported applications where possible",Conduct a security assessment,Protect the legacy application with a web application firewall,,,,,,,,,,,D
57,,,,Which of the following is a web application control that should be put into place to prevent exploitation of Operating System (OS) bugs?,Check arguments in function calls,Test for the security patch level of the environment,Include logging functions,Digitally sign each application module,,,,,,,,,,,B
58,,,,Which of the following is the PRIMARY risk with using open source software in a commercial software construction?,Lack of software documentation,License agreements requiring release of modified code,Expiration of the license agreement,Costs associated with support of the software,,,,,,,,,,,D
59,,,,"A Java program is being developed to read a file from computer A and write it to computer B, using a third computer C. The program is not working as expected. What is the MOST probable security feature of Java preventing the program from operating as intended?",Least privilege,Privilege escalation,Defense in depth,Privilege bracketing,,,,,,,,,,,A
60,,,,Which of the following is the BEST method to prevent malware from being introduced into a production environment?,Purchase software from a limited list of retailers,Verify the hash key or certificate key of all updates,"Do not permit programs, patches, or updates from the Internet",Test all new software in a segregated environment,,,,,,,,,,,D
61,,,,The configuration management and control task of the certification and accreditation process is incorporated in which phase of the System Development Life Cycle (SDLC)?,System acquisition and development,System operations and maintenance,System initiation,System implementation,,,,,,,,,,,A
62,,,,When in the Software Development Life Cycle (SDLC) MUST software security functional requirements be defined?,After the system preliminary design has been developed and the data security categorization has been performed,After the vulnerability analysis has been performed and before the system detailed design begins,After the system preliminary design has been developed and before the data security categorization begins,After the business functional analysis and the data security categorization have been performed,,,,,,,,,,,D
63,,,,Which one of the following is the MOST important in designing a biometric access system if it is essential that no one other than authorized individuals are admitted?,False Acceptance Rate (FAR),False Rejection Rate (FRR),Crossover Error Rate (CER),Rejection Error Rate,,,,,,,,,,,A
64,,,,The overall goal of a penetration test is to determine a system's,ability to withstand an attack.,capacity management.,error recovery capabilities.,reliability under stress.,,,,,,,,,,,A
65,,,,Which of the following is an authentication protocol in which a new random number is generated uniquely for each login session?,Challenge Handshake Authentication Protocol (CHAP),Point-to-Point Protocol (PPP),Extensible Authentication Protocol (EAP),Password Authentication Protocol (PAP),,,,,,,,,,,A
66,,,,Which of the following actions should be performed when implementing a change to a database schema in a production system?,"Test in development, determine dates, notify users, and implement in production","Apply change to production, run in parallel, finalize change in production, and develop a back-out strategy","Perform user acceptance testing in production, have users sign off, and finalize change","Change in development, perform user acceptance testing, develop a back-out strategy, and implement change",,,,,,,,,,,D
67,,,,Which of the following can BEST prevent security flaws occurring in outsourced software development?,Contractual requirements for code quality,"Licensing, code ownership and intellectual property rights",Certification of the quality and accuracy of the work done,"Delivery dates, change management control and budgetary control",,,,,,,,,,,C
68,,,,Which of the following Disaster Recovery (DR) sites is the MOST difficult to test?,Hot site,Cold site,Warm site,Mobile site,,,,,,,,,,,B
69,,,,An internal Service Level Agreement (SLA) covering security is signed by senior managers and is in place. When should compliance to the SLA be reviewed to ensure that a good security posture is being delivered?,As part of the SLA renewal process,Prior to a planned security audit,Immediately after a security breach,At regularly scheduled meetings,,,,,,,,,,,D
70,,,,Why is a system's criticality classification important in large organizations?,It provides for proper prioritization and scheduling of security and maintenance tasks.,It reduces critical system support workload and reduces the time required to apply patches.,It allows for clear systems status communications to executive management.,"It provides for easier determination of ownership, reducing confusion as to the status of the asset.",,,,,,,,,,,A
71,,,,What is the FIRST step in developing a security test and its evaluation?,Determine testing methods,Develop testing procedures,Identify all applicable security requirements,"Identify people, processes, and products not in compliance",,,,,,,,,,,C
72,,,,Which of the following assessment metrics is BEST used to understand a system's vulnerability to potential exploits?,Determining the probability that the system functions safely during any time period,Quantifying the system's available services,Identifying the number of security flaws within the system,Measuring the system's integrity in the presence of failure,,,,,,,,,,,C
73,,,,Which of the following is a limitation of the Common Vulnerability Scoring System (CVSS) as it relates to conducting code review?,It has normalized severity ratings.,It has many worksheets and practices to implement.,It aims to calculate the risk of published vulnerabilities.,It requires a robust risk management framework to be put in place.,,,,,,,,,,,C
74,,,,Which of the following is considered best practice for preventing e-mail spoofing?,Spam filtering,Cryptographic signature,Uniform Resource Locator (URL) filtering,Reverse Domain Name Service (DNS) lookup,,,,,,,,,,,B
75,,,,The Structured Query Language (SQL) implements Discretionary Access Controls (DAC) using,INSERT and DELETE.,GRANT and REVOKE.,PUBLIC and PRIVATE.,ROLLBACK and TERMINATE.,,,,,,,,,,,B
76,,,,Which one of the following is a threat related to the use of web-based client side input validation?,Users would be able to alter the input after validation has occurred,The web server would not be able to validate the input after transmission,The client system could receive invalid input from the web server,The web server would not be able to receive invalid input from the client,,,,,,,,,,,A
77,,,,"When transmitting information over public networks, the decision to encrypt it should be based on",the estimated monetary value of the information.,whether there are transient nodes relaying the transmission.,the level of confidentiality of the information.,the volume of the information.,,,,,,,,,,,C
78,,,,"In a financial institution, who has the responsibility for assigning the classification to a piece of information?",Chief Financial Officer (CFO),Chief Information Security Officer (CISO),Originator or nominated owner of the information,Department head responsible for ensuring the protection of the information,,,,,,,,,,,C
79,,,,Two companies wish to share electronic inventory and purchase orders in a supplier and client relationship. What is the BEST security solution for them?,Write a Service Level Agreement (SLA) for the two companies.,Set up a Virtual Private Network (VPN) between the two companies.,Configure a firewall at the perimeter of each of the two companies.,Establish a File Transfer Protocol (FTP) connection between the two companies.,,,,,,,,,,,B
80,,,,"The use of strong authentication, the encryption of Personally Identifiable Information (PII) on database servers, application security reviews, and the encryption of data transmitted across networks provide",data integrity.,defense in depth.,data availability.,non-repudiation.,,,,,,,,,,,B
81,,,,Which layer of the Open Systems Interconnections (OSI) model implementation adds information concerning the logical connection between the sender and receiver?,Physical,Session,Transport,Data-Link,,,,,,,,,,,C
82,,,,Which of the following is the FIRST step of a penetration test plan?,Analyzing a network diagram of the target network,Notifying the company's customers,Obtaining the approval of the company's management,Scheduling the penetration test during a period of least impact,,,,,,,,,,,C
83,,,,Which Hyper Text Markup Language 5 (HTML5) option presents a security challenge for network data leakage prevention and/or monitoring?,Cross Origin Resource Sharing (CORS),WebSockets,Document Object Model (DOM) trees,Web Interface Definition Language (IDL),,,,,,,,,,,B
84,,,,"In the area of disaster planning and recovery, what strategy entails the presentation of information about the plan?",Communication,Planning,Recovery,Escalation,,,,,,,,,,,A
85,,,,The process of mutual authentication involves a computer system authenticating a user and authenticating the,user to the audit process.,computer system to the user.,user's access to all authorized objects.,computer system to the audit process.,,,,,,,,,,,B
86,,,,"When constructing an Information Protection Policy (IPP), it is important that the stated rules are necessary, adequate, and",flexible.,confidential.,focused.,achievable.,,,,,,,,,,,D
87,,,,"As one component of a physical security system, an Electronic Access Control (EAC) token is BEST known for its ability to",overcome the problems of key assignments.,monitor the opening of windows and doors.,trigger alarms when intruders are detected.,lock down a facility during an emergency.,,,,,,,,,,,A
88,,,,The goal of software assurance in application development is to,enable the development of High Availability (HA) systems.,facilitate the creation of Trusted Computing Base (TCB) systems.,prevent the creation of vulnerable applications.,encourage the development of open source applications.,,,,,,,,,,,C
89,,,,Which type of control recognizes that a transaction amount is excessive in accordance with corporate policy?,Detection,Prevention,Investigation,Correction,,,,,,,,,,,A
90,,,,"When designing a networked Information System (IS) where there will be several different types of individual access, what is the FIRST step that should be taken to ensure all access control requirements are addressed?",Create a user profile.,Create a user access matrix.,Develop an Access Control List (ACL).,Develop a Role Based Access Control (RBAC) list.,,,,,,,,,,,B
91,,,,An organization is designing a large enterprise-wide document repository system. They plan to have several different classification level areas with increasing levels of controls. The BEST way to ensure document confidentiality in the repository is to,encrypt the contents of the repository and document any exceptions to that requirement.,utilize Intrusion Detection System (IDS) set drop connections if too many requests for documents are detected.,keep individuals with access to high security areas from saving those documents into lower security areas.,require individuals with access to the system to sign Non-Disclosure Agreements (NDA).,,,,,,,,,,,A
92,,,,The PRIMARY purpose of a security awareness program is to,ensure that everyone understands the organization's policies and procedures.,communicate that access to information will be granted on a need-to-know basis.,warn all users that access to all systems will be monitored on a daily basis.,comply with regulations related to data and information protection.,,,,,,,,,,,A
93,,,,Passive Infrared Sensors (PIR) used in a non-climate controlled environment should,reduce the detected object temperature in relation to the background temperature.,increase the detected object temperature in relation to the background temperature.,automatically compensate for variance in background temperature.,detect objects of a specific temperature independent of the background temperature.,,,,,,,,,,,C
94,,,,"In Business Continuity Planning (BCP), what is the importance of documenting business processes?",Provides senior management with decision-making tools,Establishes and adopts ongoing testing and maintenance strategies,Defines who will perform which functions during a disaster or emergency,Provides an understanding of the organization's interdependencies,,,,,,,,,,,D
95,,,,An auditor carrying out a compliance audit requests passwords that are encrypted in the system to verify that the passwords are compliant with policy. Which of the following is the BEST response to the auditor?,Provide the encrypted passwords and analysis tools to the auditor for analysis.,Analyze the encrypted passwords for the auditor and show them the results.,Demonstrate that non-compliant passwords cannot be created in the system.,Demonstrate that non-compliant passwords cannot be encrypted in the system.,,,,,,,,,,,C
96,,,,"An organization is selecting a service provider to assist in the consolidation of multiple computing sites including development, implementation and ongoing support of various computer systems. Which of the following MUST be verified by the Information Security Department?",The service provider's policies are consistent with ISO/IEC27001 and there is evidence that the service provider is following those policies.,The service provider will segregate the data within its systems and ensure that each region's policies are met.,The service provider will impose controls and protections that meet or exceed the current systems controls and produce audit logs as verification.,The service provider's policies can meet the requirements imposed by the new environment even if they differ from the organization's current policies.,,,,,,,,,,,D
97,,,,"In Disaster Recovery (DR) and business continuity training, which BEST describes a functional drill?",A full-scale simulation of an emergency and the subsequent response functions,A specific test by response teams of individual emergency response functions,A functional evacuation of personnel,An activation of the backup site,,,,,,,,,,,B
98,,,,Which of the following MUST be done when promoting a security awareness program to senior management?,Show the need for security; identify the message and the audience,Ensure that the security presentation is designed to be all-inclusive,Notify them that their compliance is mandatory,Explain how hackers have enhanced information security,,,,,,,,,,,D
99,,,,Which of the following is the best practice for testing a Business Continuity Plan (BCP)?,Test before the IT Audit,Test when environment changes,Test after installation of security patches,Test after implementation of system patches,,,,,,,,,,,B
100,,,,Which of the following is a security feature of Global Systems for Mobile Communications (GSM)?,It uses a Subscriber Identity Module (SIM) for authentication.,It uses encrypting techniques for all communications.,The radio spectrum is divided with multiple frequency carriers.,The signal is difficult to read as it provides end-to-end encryption.,,,,,,,,,,,A
101,,,,Which of the following wraps the decryption key of a full disk encryption implementation and ties the hard disk drive to a particular device?,Trusted Platform Module (TPM),Preboot eXecution Environment (PXE),Key Distribution Center (KDC),Simple Key-Management for Internet Protocol (SKIP),,,,,,,,,,,A
102,,,,Which one of the following transmission media is MOST effective in preventing data interception?,Microwave,Twisted-pair,Fiber optic,Coaxial cable,,,,,,,,,,,C
103,,,,Which of the following is a physical security control that protects Automated Teller Machines (ATM) from skimming?,Anti-tampering,Secure card reader,Radio Frequency (RF) scanner,Intrusion Prevention System (IPS),,,,,,,,,,,A
104,,,,"When implementing controls in a heterogeneous end-point network for an organization, it is critical that",hosts are able to establish network communications.,users can make modifications to their security software configurations.,common software security components be implemented across all hosts.,firewalls running on each host are fully customizable by the user.,,,,,,,,,,,C
105,,,,Which of the following is TRUE about Disaster Recovery Plan (DRP) testing?,Operational networks are usually shut down during testing.,Testing should continue even if components of the test fail.,The company is fully prepared for a disaster if all tests pass.,Testing should not be done until the entire disaster plan can be tested.,,,,,,,,,,,B
106,,,,An external attacker has compromised an organization's network security perimeter and installed a sniffer onto an inside computer. Which of the following is the MOST effective layer of security the organization could have implemented to mitigate the attacker's ability to gain further information?,Implement packet filtering on the network firewalls,Require strong authentication for administrators,Install Host Based Intrusion Detection Systems (HIDS),Implement logical network segmentation at the switches,,,,,,,,,,,D
107,,,,What security management control is MOST often broken by collusion?,Job rotation,Separation of duties,Least privilege model,Increased monitoring,,,,,,,,,,,B
108,,,,Checking routing information on e-mail to determine it is in a valid format and contains valid information is an example of which of the following anti-spam approaches?,Simple Mail Transfer Protocol (SMTP) blacklist,Reverse Domain Name System (DNS) lookup,Hashing algorithm,Header analysis,,,,,,,,,,,D
109,,,,"What maintenance activity is responsible for defining, implementing, and testing updates to application systems?",Program change control,Regression testing,Export exception control,User acceptance testing,,,,,,,,,,,A
110,,,,Which one of the following security mechanisms provides the BEST way to restrict the execution of privileged procedures?,Role Based Access Control (RBAC),Biometric access control,Federated Identity Management (IdM),Application hardening,,,,,,,,,,,A
111,,,,Which one of these risk factors would be the LEAST important consideration in choosing a building site for a new computer facility?,Vulnerability to crime,Adjacent buildings and businesses,Proximity to an airline flight path,Vulnerability to natural disasters,,,,,,,,,,,C
112,,,,Which of the following is the BEST way to verify the integrity of a software patch?,Cryptographic checksums,Version numbering,Automatic updates,Vendor assurance,,,,,,,,,,,A
113,,,,Which security action should be taken FIRST when computer personnel are terminated from their jobs?,Remove their computer access,Require them to turn in their badge,Conduct an exit interview,Reduce their physical access level to the facility,,,,,,,,,,,A
114,,,,What is the MOST effective countermeasure to a malicious code attack against a mobile system?,Sandbox,Change control,Memory management,Public-Key Infrastructure (PKI),,,,,,,,,,,A
115,,,,Why MUST a Kerberos server be well protected from unauthorized access?,It contains the keys of all clients.,It always operates at root privilege.,It contains all the tickets for services.,It contains the Internet Protocol (IP) address of all network entities.,,,,,,,,,,,A
116,,,,Multi-threaded applications are more at risk than single-threaded applications to,race conditions.,virus infection.,packet sniffing.,database injection.,,,,,,,,,,,A
117,,,,Which of the following statements is TRUE for point-to-point microwave transmissions?,They are not subject to interception due to encryption.,Interception only depends on signal strength.,They are too highly multiplexed for meaningful interception.,They are subject to interception by an antenna within proximity.,,,,,,,,,,,D
118,,,,Which of the following would be the FIRST step to take when implementing a patch management program?,Perform automatic deployment of patches.,Monitor for vulnerabilities and threats.,Prioritize vulnerability remediation.,Create a system inventory.,,,,,,,,,,,D
119,,,,Which one of the following describes granularity?,Maximum number of entries available in an Access Control List (ACL),Fineness to which a trusted system can authenticate users,Number of violations divided by the number of total accesses,Fineness to which an access control system can be adjusted,,,,,,,,,,,D
120,,,,What technique BEST describes antivirus software that detects viruses by watching anomalous behavior?,Signature,Inference,Induction,Heuristic,,,,,,,,,,,D
121,,,,"During an audit of system management, auditors find that the system administrator has not been trained. What actions need to be taken at once to ensure the integrity of systems? 1",A review of hiring policies and methods of verification of new employees,A review of all departmental procedures,A review of all training procedures to be undertaken,A review of all systems by an experienced administrator,,,,,,,,,,,D
122,,,,What would be the PRIMARY concern when designing and coordinating a security assessment for an Automatic Teller Machine (ATM) system?,Physical access to the electronic hardware,Regularly scheduled maintenance process,Availability of the network connection,Processing delays,,,,,,,,,,,A
123,,,,Which of the following does Temporal Key Integrity Protocol (TKIP) support?,Multicast and broadcast messages,Coordination of IEEE 802.11 protocols,Wired Equivalent Privacy (WEP) systems,Synchronization of multiple devices,,,,,,,,,,,C
124,,,,The BEST method of demonstrating a company's security level to potential customers is,a report from an external auditor.,responding to a customer's security questionnaire.,a formal report from an internal auditor.,a site visit by a customer's security team.,,,,,,,,,,,A
125,,,,"The BEST way to check for good security programming practices, as well as auditing for possible backdoors, is to conduct",log auditing.,code reviews.,impact assessments.,static analysis.,,,,,,,,,,,B
126,,,,An organization allows ping traffic into and out of their network. An attacker has installed a program on the network that uses the payload portion of the ping packet to move data into and out of the network. What type of attack has the organization experienced? 2,Data leakage,Unfiltered channel,Data emanation,Covert channel,,,,,,,,,,,A
127,,,,Which of the following defines the key exchange for Internet Protocol Security (IPSec)?,Secure Sockets Layer (SSL) key exchange,Internet Key Exchange (IKE),Security Key Exchange (SKE),Internet Control Message Protocol (ICMP),,,,,,,,,,,B
128,,,,Which of the following is an appropriate source for test data?,Production data that is secured and maintained only in the production environment.,Test data that has no similarities to production data.,Test data that is mirrored and kept up-to-date with production data.,Production data that has been sanitized before loading into a test environment.,,,,,,,,,,,D
129,,,,Which of the following is an attacker MOST likely to target to gain privileged access to a system?,Programs that write to system resources,Programs that write to user directories,Log files containing sensitive information,Log files containing system calls,,,,,,,,,,,A
